Designator,Mid X,Mid Y,Layer,Rotation
C1,11.50,-7.00,Top,90.0
C2,22.75,-5.75,Top,0.0
C3,12.80,-7.00,Top,90.0
C4,18.30,-7.00,Top,270.0
C5,11.40,-1.60,Top,90.0
C6,14.50, 5.50,Top,0.0
C7,22.50, 2.60,Top,270.0
D1, 9.66, 7.62,Top,180.0
IC1,17.00, 0.00,Top,90.0
IC2,10.16, 3.81,Top,180.0
LED1, 6.35,-6.15,Top,270.0
LED2, 6.35,-7.62,Top,270.0
LED3, 6.35, 7.62,Top,90.0
R1, 8.89,-6.15,Top,180.0
R2, 8.89,-7.62,Top,180.0
R3,20.00,-5.75,Top,0.0
R4,22.50,-0.25,Top,90.0
R5,22.50,-2.50,Top,90.0
R6, 6.35, 6.35,Top,180.0
R7, 9.80,-2.00,Top,0.0
R8, 9.80,-3.30,Top,180.0
R9,10.00, 0.00,Top,90.0
R10,19.50, 5.50,Top,0.0
R11,17.25, 5.50,Top,0.0
R12,21.75, 5.50,Top,180.0
R13,11.40,-4.20,Top,90.0
R14, 9.20,-5.00,Top,180.0
X1, 4.00, 0.00,Top,270.0
Y1,15.45,-7.00,Top,0.0
